das Auge, -n | eye
der Bau, die Bauten / die Baue | construction, building
der Bericht, -e | report, account
der Betrieb, -e | plant, firm, operation
die Bühne, -n | stage, platform
der Chef, -s | boss, employer, chief (male)
die Chefin, -nen | boss, employer, chief (female)
der Dollar, -/-s | dollar
die Führung, -en | conduct, leadership, guidance, management, tour (with a guide)
die Idee, -n | idea
das Interesse, -n | interest, demand, concern
das Internet | internet
der Kampf, die Kämpfe | struggle, conflict, fight
die Karte, -n | card, map, ticket, menu
der Kilometer, - (km) | kilometer
die Klasse, -n / klasse! | class, grade, sort / awesome!
das Konzert, -e | concert
der Kopf, die Köpfe | head
die Kosten (pl) | expenses, costs
die Kraft, die Kräfte | force, strength, power, energy, vigour, vitality
der Krieg, -e | war
die Kritik, -en | criticism, censure, review, critique
der Kunde, -n, | customer (m)
die Kundin, -nen | customer (f)
die Kunst, die Künste | art(s), artificial, skill, craft, trick
die Lage, -n | position, location
die Leistung, -en | performance, achievement, accomplishment, power, effort
die Literatur | literature
das Mädchen, - | girl
die Milliarde, -n (Mrd) | in UK thousand million or milliard, in USA: billion
das Museum, die Museen | museum
das Opfer, - | victim, sacrifice
der Politiker, - | male politician, statesman
die Politikerin, -nen | female politician, stateswoman
das Publikum | audience, crowd, public
die Quelle, -n | source, well, spring, resource
der Rahmen, - | frame, framework
das Recht, -e / | law, right, justice /
recht | fair(ly), right(ly), quite
die Richtung, -en | direction, tendency, route
der Satz, die Sätze | sentence, clause, theorem, jump
der Schweizer, - | male Swiss citizen
die Schweizerin, -nen | female Swiss citizen
der Sinn, -e | sense, mind, meaning, point
die Situation, -en | situation [cognate], circumstances, case
die Stimme, -n | voice, vote
die Tochter, die Töchter | daughter
der Tod, -e | death
die Universität, -en | university
die Verfügung, -en | ordinance, regulation, disposal
das Wasser, die Wässer | water
die Wirtschaft, -en | economy / pub, inn
wert | worth(y)
der Wert, -e / | value, worth
der Zug, die Züge | train, tug, draft, drag (cig.), move, trait
der Zuschauer, - | spectator, viewer, onlooker, audience member
ändern, änderte, geändert | to change, alter
bestätigen, bestätigte, bestätigt | to confirm
bezeichnen, bezeichnete, bezeichnet | to designate, label, describe
bilden, bildete, gebildet | to form, educate
einsetzen, setzte ein, eingesetzt | to put in, insert, deploy
entsprechen (entspricht), entsprach, entsprochen | to correspond to
erinnern, erinnerte, erinnert | to remind
sich erinnern, erinnerte sich, sich erinnert | to remember
gelingen, gelang, gelungen | to be successful, to succeed
hoffen, hoffte, gehofft | to hope
holen, holte, geholt | to fetch, to go get
kosten, kostete, gekostet | to cost / to taste, sample food
laden (lädt), lud, geladen | to load, charge
lernen, lernte, gelernt | to learn, to study, to do homework
lesen (liest), las, gelesen | to read / to pick (grapes)
melden, meldete, gemeldet | to report, announce, notify
öffnen, öffnete, geöffnet | to open [cognate]
präsentieren, präsentierte, präsentiert | to present [cognate]
stammen, stammte, gestammt | to stem, originate
starten, startete, gestartet | to launch, start
sterben (stirbt), starb, ist gestorben | to die
stimmen, stimmte, gestimmt | to vote
verlassen (verlässt), verließ, verlassen | to leave sb/sth
verletzen, verletzte, verletzt | to injure, harm, breach
wachsen (wächst), wuchs, gewachsen | to grow, increase
warten, wartete, gewartet | to wait
wirken, wirkte, gewirkt | to appear, seem, work, have an effect, take effect
ähnlich | similar, like
anders | different
bald | soon
bestimmt | certain(ly), for sure
bislang | yet, until now
dennoch | nevertheless, yet
eben | even, level, smooth, just
einzeln | individual, single
entsprechend | appropriate, respective, applicable, corresponding
erneut | again, anew, renewed
falsch | wrong, false
gesamt | entire, complete
heutig | today's, present modern
historisch | historical
hin | [indicates movement away from speaker], broken
je | ever, each
lieb | dear, kind
ob | whether, if [in the sense of whether]
offiziell | official(ly)
per | per
persönlich | personal
positiv | positive
privat | private
rot | red
sozial | social
tatsächlich | actually, indeed, literally
überhaupt | anyway, generally, ever, at all
völlig | completely, utter, entire(ly)
weiterhin | furthermore, still, in addition
zuletzt | last(ly), finally, recently, lately
zumindest | at least, at any rate
Auge in Auge|face to face
etwas ins Auge sehen|to confront or face sth
Gute Idee!|Good idea!
nur aus Interesse|just out of curiosity
Interesse an etw (D) / jdm zeigen|to show interest in sth / sb
im Internet surfen|to surf the internet
aus dem Internet|from the internet
ins Internet gehen|to go on the internet
Kopf hoch!|Cheer up!
Kopf an Kopf|neck and neck
von Kopf bis Fuß|from head to toe
mit ganzer Kraft|with all one's might
aus eigener Kraft|under one's own steam
Das bedeutet Krieg!|This is war!
Der Kunde ist König.|The customer is always right.
bildende Kunst|visual art
wahre Kunst|true / real art
Kunststoff|synthetic material
schwierige Lage|difficult situation
in der Lage|in the position, capable
große Leistung|feat
Verehrtes Publikum!|Ladies and Gentlemen!
das große Publikum|the general public
an der Quelle|at the source
aus guter Quelle|on good authority
im Rahmen + Gen|in the context / within the framework of
Du hast Recht!|You are right!
Mit welchem Recht...?|By what right...?
Recht auf Privatsphäre|right to privacy
recht sonnig|quite sunny
in die Richtung|in that direction
etwas in der Richtung|something along those lines
ein ganzer Satz|a complete sentence
mit einem Satz|in a single bound
Das macht Sinn.|That makes sense.
im Sinn haben|to have in mind
Das hat keinen Sinn.|There is no point to it.
jetzige Situation|current situation
schrille Stimme|shrill voice
eine Stimme abgeben|to cast a vote
Gevatter Tod|Grim Reaper
der Schwarze Tod (die Pest)|the Black Death (Eur. 14th C. plague)
der Weiße Tod|death in the snow
zur Verfügung|on hand, at one's disposal, available
gemeinsame Werte|shared values
nichts wert|worth nothing
freie Wirtschaft|free enterprise
die Wirtschaft ankurbeln|to kickstart the economy
mit dem Zug|by train
am Zug sein|to be sb's turn (game)
Schachzug|chess move
Fernseh-Zuschauer|TV viewers
Erinnerst du mich daran?|Will you remind me of it?
Ich kann mich nicht daran erinnern.|I can't remember it.
Es ist mir gelungen, . . .|I succeeded in . . .
Wir hoffen auf gutes Wetter.|We are hoping for good weather.
voll laden|fully charge (battery)
von den Lippen lesen|to read lips
Der Butler meldete den Gast.|The butler announced the guest.
Sie stammen aus Hamburg.|They come from Hamburg.
einen Motor starten|to start an engine
vor Hunger / Durst sterben|to die of hunger / thirst
für / gegen jdn stimmen|to vote for / against sth
Er hat die Schule verlassen.|He left school.
ein verlassenes Haus|an abandoned house
jds Gefühle verletzen|to hurt sb's feelings
die Etikette verletzen|to commit a breach of etiquette
um 10% wachsen|to grow by 10%
Er wirkt genervt.|He seems on edge.
Wunder wirken|to work miracles
Das Aspirin hat angefangen zu wirken.|The aspirin is taking effect.
Sie ist ihrer Schwester ähnlich.|She is similar to her sister.
anders als|different from
Eben!|Precisely!
eben jetzt|just now
nicht eben|uneven
jeder einzelne von uns|every single one of us
nicht der Norm entsprechend|nonstandard
sein gesamtes Geld|all of his money
Gehst du hin?|Are you going there?
