der, die, das| the, that, those, which, who, this one
ein, eine, ein-| a, an, one, one of
kein, keine, kein-| not a, no
sein, seine, sein-| his, its
dieser, diese, dieses, dies-| this, that, these
jeder, jede, jedes, jed-| each, every
er| he, it
es| it
sie| she, they, it, them
ich| I
wir| we
ihr| y'all, her, their
man| one, a person, people
du| you (informal, singular)
Sie| you (formal)
und| and
sich| -self
nicht| not
auch| also, too
wenn| when, whenever, if
als| as, when, than
oder| or
aber| but, however, of course
bis| until
dass| that
eins, zwei, drei, vier, fünf, sechs, sieben, acht, neun, zehn| 1-10
an, am (an dem), ans (an das)| at, on, at/on the, to
auf| on, at, on top of, in
aus| out of, out
bei / beim (bei dem)| by, with, at
durch| through, divided by, by means of
für| for
gegen| against, towards, around (time)
in, im (in dem), ins (in das)| in, in the, into
mit| with, by means of
nach| to, after
über| over, about, via
um| around, at (time)
um...zu + (Infinitiv)| in order to + (infinitive)
unter| under, beneath, among
von / vom (von dem)| from, by
vor| in front of, before, ago
zu / zum (zu dem), zur (zu der)| to, too / to the
zwischen| between
sein (ich bin, du bist, es ist, wir sind, ihr seid, sie sind, Sie sind) war, gewesen| to be
sein + Partizip| (present perfect of sein verbs)
werden (wird), wurde, ist geworden| to become, get
werden + Infinitiv| (future)
werden + Partizip| (passive)
haben (hat), hatte, gehabt| to have
haben + Partizip| (present perfect of most verbs)
wollen (will), wollte, gewollt| to want to
können (kann), konnte, gekonnt| to be able to, can
müssen (muss), musste, gemusst| to have to
sollen, sollte, gesollt| should, ought to
lassen (lässt), ließ, gelassen| to let, allow, have done
geben (gibt), gab, gegeben| to give
sagen, sagte, gesagt| to say
kommen, kam, ist gekommen| to come
gehen, ging, ist gegangen| to go
machen, machte, gemacht| to make, to do
stehen, stand, gestanden| to stand, to be located
sehen (sieht), sah, gesehen| to see
finden, fand, gefunden| to find
das Jahr, die Jahre| year
die Uhr, die Uhren| clock, o'clock
die Minute, -n| minute
das Prozent, die Prozente| %
die Zeit, die Zeiten| time
andere (-r, -s)| other
alle| all, everyone, every (pl)
da| there, since
dann| then
deutsch| German
doch| however, still, on the contrary, as a flavor word, it can add emphasis
groß| large, big, tall
gut| good, well
immer| always
mehr| more
neu| new
noch| still, yet
nur| only, just
schon| already
so| so, thus, this way, such
viel| much
was| what, which
weit| far, widely
wie| how, as
wieder| again
Der Apfel ist rot.|The apple is red.
Die da?|That one there?
Was ist das?|What is that?
Ist das das Buch?|Is that the book?
Ist das eine gute Idee?|Is that a good idea?
Ein Bier, bitte!|One beer, please!
Keine Ahnung!|(I have) no clue!
Kein Problem!|No problem!
Keine Sorge!|Don't worry!
Das ist sein Problem.|That's his (its) problem.
jeden Tag|every day
jede Person|every person
Was macht ihr denn hier?|So, what are you all doing here?
War das ihre Idee?|Was that her / their idea?
Was macht man hier?|What do people do here? What does one do here?
Wo bist du?|Where are you?
Wie heißen Sie?|What is your name? Lit. How are you called?
er wäscht sich|he's washing himself
außer sich|distraught, beside onself
nicht schlecht|not bad
heute nicht|not today
ich auch|me too
wenn's geht|if possible
Als ich da war.|When I was there
Besser als nichts|Better than nothing.
Die da oder die da?|This one or that one there?
Aber ja!|But of course!
Bis später|See you later! Lit. until later
Gut, dass da bist.|It's a good thing that you are here.
am Ende|in / at the end
am Schreibtisch|at the desk
an die Tür|to the door
an der Wand|on the wall
an der Uni|in college
auf dem Tisch|on the table
auf der Straße|in / on the street
auf die Straße|into / onto the street
aus Berlin|from Berlin
aus dem Haus|out of the house
bei mir|at my place
beim Schwimmen|when swimming
bei Bosch|at Bosch
durch die Stadt|through the city
4 durch 2 = 2|4 ÷ 2 = 2
für mich?|for me?
gegen die Wand|into / against the wall
gegen 8 Uhr|around 8 o'clock
im Büro|in the office
in die Schule|(in)to school
in der Schule|in / at school
mit dem Auto|by car
mit dir|with you
mit Schlag|w/ whipped cream
nach 8 Uhr|after 8 o'clock
nach Wien|to Vienna
nach Hause|to home
über Rom|via Rome
froh über|happy about
um Ulm|around Ulm
um 8 Uhr|at 8 o'clock
um Deutsch zu lernen|in order to learn German
unter vier Augen|one on one
unter Deck|below deck
von mir|from me
von Bach|by Bach
vor dem Haus|in front of the house
vor dem Krieg|before the war
vor einem Jahr|a year ago
zum Zoo|to the zoo
zu mir|to my place
zu Hause|at home
zwischen den Zeilen|between the lines
Ich bin ich und du bist du.|I am me and you are you.
Ist er das?|Is that him (lit. he)?
Wo seid ihr?|Where are y'all?
Hier sind wir.|Here we are.
Wo war er? Wo ist er gewesen?|Where was he (x2)?
Lola ist gerannt.|Lola ran.
Es wird spät.|It's getting late.
Wirst du müde?|Are you getting tired?
Wir werden sehen.|We will see.
Amelia Earhart wurde nie gefunden.|Amelia Earhart was never found.
Hast du Zeit?|Do you have time?
Wir haben Spaß gehabt.|We had fun.
Es ist 5 Uhr.|It's 5 o'clock.
alle miteinander|everyone together, with each other
alle 3 Tage|every 3 days
