der Artikel, -|article
das Beispiel, -e|example
der Fall, die Fälle|case, fall
falls|in case, if, in the event of
die Familie, -n|family
der Film, -e|film, movie
das Foto, -s|photo
der Gast, die Gäste|guest
das Geld|money
die Gemeinde, -n|community, municipality, parish
die Geschichte, -n|history, story
der Grund, die Gründe|reason, cause
im Grunde genommen|basically, for the most part
die Gruppe, -n|group
die Kirche, -n|church
das Mal, -e / mal|time / time(s)
die Mannschaft, -en|team
der / das Meter, -|meter
das Mitglied, -er|member
der Monat, -e|month
der Name, -n, -n|name
der Ort, -e|place, location (geographical)
die Polizei (Sg.)|police
der Präsident, -en, -en|president
das Problem, -e|problem
der Punkt, -e|point
die Schule, -n|school
die Straße, -n|street
die Stunde, -n|hour, lesson
das Team, -s|team
das Thema, die Themen|subject, theme, issue
das Unternehmen, -|company, firm, enterprise
der Verein, -e|club
der Weg, -e|way, path
weg|gone, away
die Welt, -en|world
das Ziel, -e|goal, aim, target
arbeiten, arbeitete, gearbeitet|to work
bekommen, bekam, bekommen|to get, receive
berichten, berichtete, berichtet|to report, tell
bestehen, bestand, bestanden|to exist, insist, pass an exam
bieten, bot, geboten|to offer, bid
erklären, erklärte, erklärt|to explain, make clear
erreichen, erreichte, erreicht|to achieve, attain, reach
folgen, folgte, gefolgt|to follow
fordern, forderte, gefordert|to demand, require, ask
gelten (gilt), galt, gegolten|to be valid
gewinnen, gewann, gewonnen|to win, gain
leben, lebte, gelebt|to live
meinen, meinte, gemeint|to think, opine
mögen (mag), mochte, gemocht|to like, may
nennen, nannte, genannt|to name
schaffen, schaffte, geschafft|to manage, pull off
schaffen, schuf, geschaffen|to create
schreiben, schrieb, geschrieben|to write
setzen, setzte, gesetzt|to set, put, place in a seated position
sich setzen, setzte sich, sich gesetzt|to seat oneself, to sit down
sprechen, sprach, gesprochen|to speak
steigen, stieg, ist gestiegen|to climb, rise, increase
treffen (trifft), traf, getroffen|to meet, hit
tun, tat, getan|to do
wissen (weiß), wusste, gewusst|to know (facts)
ziehen, zog, gezogen|to pull, move, drag
bekannt|familiar, known, famous
deutlich|distinct, explicit, clear
einfach|simple, easy, plain, one-way
frei|free, available
früh|early
gemeinsam|common, mutual, together
gleich|equal, alike, same
international|international
jährig|years of age
klar|clear, lucid, bright
möglich|possible
nah|near, close
politisch|political(ly)
richtig|right(ly), correct(ly)
rund|round, around
schnell|fast
schön|beautiful
schwer|heavy, difficult
spät, später|late, later
vergangen|past, bygone
der Januar (Jänner)|January (Austria: January)
der Februar|February
im Februar|in February
im (Monat)|in (month)
der März|March
der April|April
der Mai|May
der Juni|June
der Juli|July
der August|August
der September|September
der Oktober|October
der November|November
der Dezember|December
mir|me
ihn|him
welch(e,er,es)|which
neben|beside, next to
während|during,while
also|therefore, thus, well
besonders / besonder-|especially /special
bisher|so far, up to now
darauf|on it / on them, thereupon, thereafter
davon|of or from it / them, thereof
etwas|something, somewhat
fast|almost
gar|at all
gerade|just now, straight
sogar|even, in fact
wohl|probably, well
der Montag, -e|Monday
der Dienstag, -e|Tuesday
der Mittwoch, -e|Wednesday
der Donnerstag, -e|Thursday
der Freitag, -e|Friday
der Sonnabend, -e|Saturday
der Sonntag, -e|Sunday
das Wochenende, -n|weekend
montags, dienstags, usw.|(on) Mondays, Tuesdays, etc.
